query_id,model,parameters_b,precision,prompt,tokens_generated,energy_kwh,duration_s,co2_grams,energy_per_token,gpu_memory_mb
0,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 0,4096,0.00019419854217245095,9.755914225415586,0.06642048600197838,4.741175346007103e-08,2259.194830516362
1,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 1,4096,0.0001563188082204372,7.852957430872597,0.05346472273736973,3.816377153819268e-08,2058.2767109595025
2,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 2,4096,0.00018883168220070135,9.486300329458992,0.06458489319247303,4.61014849122806e-08,2064.2138758587666
3,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 3,4096,0.00022925913733559886,11.517246495355842,0.07841203724744006,5.597146907607394e-08,2283.9717799777163
4,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 4,4096,0.00020329533499589334,10.212908029380763,0.06953180390186149,4.963265014548177e-08,2321.725539333374
5,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 5,4096,0.00019512456248992922,9.802434527201825,0.06673720681175663,4.763783263914288e-08,2405.9120614187977
6,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 6,4096,0.00018320687128445414,9.20372780229574,0.06266107507032354,4.4728240059681186e-08,2214.131688518301
7,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 7,4096,0.00015582465168848667,7.828132585713064,0.05329570953754838,3.804312785363444e-08,2080.701800443543
8,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 8,4096,0.0002064410914171349,10.370940780174688,0.0706077268619688,5.040065708426145e-08,2192.6148738405946
9,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 9,4096,0.00017363207421347324,8.722720592327603,0.05938626843320611,4.239064311852374e-08,2228.0567073497464
10,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 10,4096,0.00016340981362299831,8.209186884016033,0.055890013987303616,3.989497402905232e-08,2424.0462769955875
11,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 11,4096,0.00020884171450584588,10.491540413307975,0.07142879663147388,5.098674670552878e-08,2192.827797179803
12,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 12,4096,0.00018116164242224875,9.10098203949129,0.06196155851632014,4.4228916606994323e-08,2337.0867785569453
13,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 13,4096,0.0002199513320654623,11.049652100328476,0.07522854810927108,5.369905568004451e-08,2169.5361249997422
14,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 14,4096,0.00018577361387964604,9.332672748623791,0.0635389616327429,4.535488620108546e-08,2222.4064038351507
15,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 15,4096,0.000176175955710332,8.850517070124729,0.06025633596029783,4.3011707937092777e-08,2181.629332400579
16,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 16,4096,0.0001802839401731636,9.05688908306773,0.06166136362661034,4.401463383133877e-08,2050.351646961844
17,TinyLlama-1.1B,1.1,FP16,Real Data Prompt 17,4096,0.00018277624935124378,9.1820947323613,0.06251379220317645,4.46231077517685e-08,2241.4932328381933
