query_id,model,input_length_category,input_tokens,tokens_generated,energy_kwh,duration_s,co2_grams,energy_per_token
0,Llama-2-7B (Real),Short,4096,4096,0.0014188484499736433,71.27841240185361,0.48527966562548214,3.463985473568465e-07
1,Llama-2-7B (Real),Short,4096,4096,0.0013669067483244237,68.6690272831851,0.4675143774378536,3.337174678526425e-07
2,Llama-2-7B (Real),Short,4096,4096,0.0015286921113954652,76.7966069621674,0.5228487909868628,3.732158475086585e-07
3,Llama-2-7B (Real),Short,4096,4096,0.0014676946979440043,73.73229181877039,0.5019862355784299,3.5832390086523543e-07
4,Llama-2-7B (Real),Short,4096,4096,0.0014325833428476338,71.96840953198105,0.48997732323748133,3.497517926874106e-07
5,Llama-2-7B (Real),Short,4096,4096,0.0013814266793410912,69.3984622211249,0.47248053662758555,3.372623728860086e-07
6,Llama-2-7B (Real),Short,4096,4096,0.0014392180071924792,72.30171386855665,0.4922465350725182,3.5137158378722636e-07
7,Llama-2-7B (Real),Short,4096,4096,0.001490568912969761,74.88141929042169,0.5098097571246182,3.6390842601800807e-07
8,Llama-2-7B (Real),Short,4096,4096,0.0014714503126412365,73.92096190063626,0.5032707444662712,3.592407989846769e-07
9,Llama-2-7B (Real),Short,4096,4096,0.0014948720126095154,75.09759326639099,0.5112815187876569,3.6495898745349497e-07
10,Llama-2-7B (Real),Short,4096,4096,0.0014902851053579427,74.86716170287008,0.5097126882213342,3.63839137050279e-07
11,Llama-2-7B (Real),Short,4096,4096,0.0013248145943467672,66.5544519667322,0.4531178670789686,3.234410630729412e-07
12,Llama-2-7B (Real),Short,4096,4096,0.0012740727041977117,64.00534154400796,0.4357629427491742,3.1105290629826945e-07
13,Llama-2-7B (Real),Short,4096,4096,0.0014596110668825709,73.3261960243168,0.4992214429195627,3.5635035812562765e-07
14,Llama-2-7B (Real),Short,4096,4096,0.0014356915634807107,72.12455660471777,0.4910404080719031,3.505106356154079e-07
15,Llama-2-7B (Real),Medium,16384,4096,0.001584239161857894,79.36270495109055,0.5416790013424763,9.66942847813656e-08
16,Llama-2-7B (Real),Medium,16384,4096,0.0017572947150351127,88.03194955608114,0.6008497133654468,1.0725675750946733e-07
17,Llama-2-7B (Real),Medium,16384,4096,0.0015915551395988745,79.72919998344747,0.5441804617355718,9.714081662590787e-08
18,Llama-2-7B (Real),Medium,16384,4096,0.001592854197976637,79.79427651307175,0.54462463245278,9.722010485697247e-08
19,Llama-2-7B (Real),Medium,16384,4096,0.0017220369212464592,86.26570494286645,0.5887944587114845,1.0510479255654659e-07
20,Llama-2-7B (Real),Medium,16384,4096,0.0016600643445701048,83.16117916403361,0.5676049538356551,1.0132228665589019e-07
21,Llama-2-7B (Real),Medium,16384,4096,0.0014840455624503758,74.3434911485221,0.5074210621533423,9.057895278627782e-08
22,Llama-2-7B (Real),Medium,16384,4096,0.001739330857793769,87.13204735927121,0.5947075572535261,1.0616033067588922e-07
23,Llama-2-7B (Real),Medium,16384,4096,0.0016326881135372562,81.78976265165241,0.558244542956149,9.965137411726417e-08
24,Llama-2-7B (Real),Medium,16384,4096,0.0018272269163118388,91.53521395588075,0.624760752721925,1.1152508034129876e-07
25,Llama-2-7B (Real),Medium,16384,4096,0.0016056826103224165,80.43691780644507,0.5490108903837619,9.800308900893655e-08
26,Llama-2-7B (Real),Medium,16384,4096,0.0018196214375840495,91.15421632697635,0.6221603068920359,1.1106087875879208e-07
27,Llama-2-7B (Real),Medium,16384,4096,0.0016648864038489649,83.40274096670743,0.5692537000082494,1.0161660179742217e-07
28,Llama-2-7B (Real),Medium,16384,4096,0.001645354178333818,82.42427111952924,0.562575291428428,1.0042444936119494e-07
29,Llama-2-7B (Real),Medium,16384,4096,0.0016307439722763276,81.69237059558598,0.5575798071498118,9.953271315163132e-08
30,Llama-2-7B (Real),Long,32768,4096,0.0020599421611711063,103.10515750867589,0.7046073348894549,6.286444583652058e-08
31,Llama-2-7B (Real),Long,32768,4096,0.0021469538794177453,107.46030741726355,0.7343698670874761,6.551983274590287e-08
32,Llama-2-7B (Real),Long,32768,4096,0.0021939420080642137,109.81217850202147,0.7504422504393506,6.695379663281902e-08
33,Llama-2-7B (Real),Long,32768,4096,0.002092038268248798,104.71164638881966,0.7155858724885309,6.38439412917724e-08
34,Llama-2-7B (Real),Long,32768,4096,0.002234540430244637,111.84422910636296,0.7643290219188965,6.819276215346182e-08
35,Llama-2-7B (Real),Long,32768,4096,0.00219223106038667,109.72654137438387,0.7498570173653676,6.690158265340179e-08
36,Llama-2-7B (Real),Long,32768,4096,0.002053163751097599,102.76588145934737,0.7022887661710173,6.265758517753903e-08
37,Llama-2-7B (Real),Long,32768,4096,0.002308873950241315,115.56480409720376,0.7897549510566518,7.046124115726669e-08
38,Llama-2-7B (Real),Long,32768,4096,0.002104379150535479,105.32933781528229,0.7198070959491253,6.422055513108762e-08
39,Llama-2-7B (Real),Long,32768,4096,0.0020160643605584196,100.90896597059242,0.6895988454603441,6.152540162836974e-08
40,Llama-2-7B (Real),Long,32768,4096,0.0023331982846646797,116.78229669446627,0.7980751382803859,7.120356093337035e-08
41,Llama-2-7B (Real),Long,32768,4096,0.002085889920573603,104.40390650785685,0.7134828178731867,6.365630861125498e-08
42,Llama-2-7B (Real),Long,32768,4096,0.002141137021630367,107.16915941821865,0.7323801992510426,6.534231633393455e-08
43,Llama-2-7B (Real),Long,32768,4096,0.0020677775770387404,103.49733929047848,0.7072874545531572,6.310356375240297e-08
44,Llama-2-7B (Real),Long,32768,4096,0.002087397837709294,104.47938145890937,0.7139986039443885,6.370232659024944e-08
45,Llama-2-7B (Real),Short,4096,4096,0.001613112806926878,80.69069106803404,0.5516210323133566,3.9382636887863234e-07
46,Llama-2-7B (Real),Short,4096,4096,0.001454512795223562,72.75724432284372,0.49738607626749626,3.5510566289637743e-07
47,Llama-2-7B (Real),Short,4096,4096,0.0014147254604260416,70.76701305892897,0.4837803751660232,3.4539195811182657e-07
48,Llama-2-7B (Real),Short,4096,4096,0.0014630919892534393,73.1863904384191,0.5003198226532765,3.5720019268882795e-07
49,Llama-2-7B (Real),Short,4096,4096,0.0013717025580887807,68.61493311359662,0.46906823742929,3.3488831984589373e-07
50,Llama-2-7B (Real),Short,4096,4096,0.0013927886248599768,69.66969462337343,0.47627884159150885,3.4003628536620526e-07
