query_id,model,batch_size,prompt,tokens_generated,energy_kwh,duration_s,co2_grams,energy_per_token,gpu_memory_mb
0,Llama-2-7B (Real),4,Real Data Prompt 0,4096,0.001538971914534812,77.3130314242654,0.5263647263429261,3.7572556507197556e-07,14023.28993945432
1,Llama-2-7B (Real),4,Real Data Prompt 1,4096,0.0013831037843203206,69.4827146163352,0.4730541461230566,3.3767182234382827e-07,14032.635788795362
2,Llama-2-7B (Real),4,Real Data Prompt 2,4096,0.0013576356959056882,68.2032792339737,0.4643434586425137,3.3145402732072465e-07,14016.138871312452
3,Llama-2-7B (Real),4,Real Data Prompt 3,4096,0.0013889132425604594,69.77456323503696,0.4750411179890737,3.3909014710948717e-07,14051.380205169206
4,Llama-2-7B (Real),4,Real Data Prompt 4,4096,0.0014430960710326583,72.49653540409565,0.4935729244579888,3.523183767169576e-07,14041.026093675287
5,Llama-2-7B (Real),4,Real Data Prompt 5,4096,0.0013794014434950045,69.29672084356547,0.4717878581570837,3.367679305407726e-07,14035.13398595569
6,Llama-2-7B (Real),4,Real Data Prompt 6,4096,0.0014166372651098307,71.16732953981679,0.4845233882010912,3.4585870730220476e-07,14032.165430041894
7,Llama-2-7B (Real),4,Real Data Prompt 7,4096,0.0013935661875365127,70.00831232282181,0.476632535016167,3.4022612000403143e-07,14035.924035969816
8,Llama-2-7B (Real),4,Real Data Prompt 8,4096,0.0013843792739963445,69.54679114201602,0.4734903937036217,3.379832211905138e-07,14030.433833347444
9,Llama-2-7B (Real),4,Real Data Prompt 9,4096,0.001400558852163594,70.35960144963884,0.4790241913992882,3.419333135165024e-07,14049.837321778905
10,Llama-2-7B (Real),4,Real Data Prompt 10,4096,0.001415552251626859,71.11282192943581,0.48415228797525284,3.455938114323386e-07,14033.990457312906
11,Llama-2-7B (Real),4,Real Data Prompt 11,4096,0.00141096391618079,70.882318617987,0.482582968932696,3.444736123488257e-07,14026.670470545136
12,Llama-2-7B (Real),4,Real Data Prompt 12,4096,0.0014495474489880271,72.82063201812905,0.4957794480208563,3.5389342016309256e-07,14032.15866712208
13,Llama-2-7B (Real),4,Real Data Prompt 13,4096,0.0014204668361146597,71.35971495025964,0.4858331918920682,3.467936611608056e-07,14015.954808784496
14,Llama-2-7B (Real),4,Real Data Prompt 14,4096,0.0013362266014753704,67.1277547394565,0.45702104292807855,3.2622719762582286e-07,14044.891065205149
15,Llama-2-7B (Real),4,Real Data Prompt 15,4096,0.0012663770286718639,63.61873539600645,0.4331308400422114,3.0917407926559177e-07,14031.312672017913
16,Llama-2-7B (Real),4,Real Data Prompt 16,4096,0.0014574436146415713,73.21731014950885,0.49848012308460005,3.5582119498085236e-07,14033.815012996838
17,Llama-2-7B (Real),4,Real Data Prompt 17,4096,0.0013247512120129032,66.55126784080795,0.45309618882447666,3.234255888703377e-07,14031.7848920049
18,Llama-2-7B (Real),4,Real Data Prompt 18,4096,0.0013619559235365781,68.42031366548764,0.46582107848287313,3.325087703946724e-07,14014.423244972026
19,Llama-2-7B (Real),4,Real Data Prompt 19,4096,0.001345124241544726,67.57474374542015,0.46006424588452743,3.2839947303338035e-07,14028.628368569227
20,Llama-2-7B (Real),4,Real Data Prompt 0,4096,0.0015132058217533111,75.69317096803748,0.5174567791624879,3.6943501507649197e-07,14031.539834965002
21,Llama-2-7B (Real),4,Real Data Prompt 1,4096,0.0015111937750074758,75.59252491173845,0.516768738438842,3.689437927264345e-07,14029.781346260113
22,Llama-2-7B (Real),4,Real Data Prompt 2,4096,0.00141460570945367,70.76102290828653,0.48373942505099315,3.453627220345874e-07,14038.218754094381
23,Llama-2-7B (Real),4,Real Data Prompt 3,4096,0.0014491969622294598,72.49133716740211,0.4955682707977111,3.538078521068017e-07,14016.919556330964
24,Llama-2-7B (Real),4,Real Data Prompt 4,4096,0.0013776106527496228,68.9104662214063,0.47108857305729074,3.363307257689509e-07,14031.109120879923
25,Llama-2-7B (Real),4,Real Data Prompt 5,4096,0.0013973780100934932,69.8992636060755,0.4778482305451673,3.4115674074548174e-07,14035.876587645538
